"year","artists","name"
1991,"['Alan Jackson', 'Jimmy Buffett']","It's Five O'Clock Somewhere"
1991,"['Angela Lansbury', 'Jerry Orbach', 'Chorus - Beauty And the Beast']","Be Our Guest - From ""Beauty and the Beast""/Soundtrack"
1991,"['Queen', 'David Bowie']","Under Pressure - Remastered 2011"
1991,"['Richard White', ""Paige O'Hara"", 'Chorus - Beauty And the Beast']","Belle - From ""Beauty and the Beast""/Soundtrack Version"
1991,"['Robby Benson', 'Jerry Orbach', ""Paige O'Hara"", 'Angela Lansbury', 'David Ogden Stiers']","Something There - From ""Beauty and the Beast""/Soundtrack Version"
1991,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']","Good Vibrations"
1991,"['Heavy D & The Boyz', 'Aaron Hall']","Now That We Found Love"
1991,"['Ludwig van Beethoven', 'Nelly Kokinos']","Für Elise, WoO 59"
1991,"['Suzanne Vega', 'DNA']","Tom's Diner"
1991,"['Antonín Dvořák', 'Prague Chamber Orchestra', 'Petr Skvor']","Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse"
1991,"['El General', 'Anayka']","Rica y Apretadita (feat. Anayka)"
1991,"['Richard White', 'Jesse Corti', 'Chorus - Beauty And the Beast']","Gaston - From ""Beauty and the Beast"" / Soundtrack Version"
1991,"['MC Breed', 'DFC']","Ain't No Future In Yo' Frontin'"
1992,"['Dr. Dre', 'Snoop Dogg']","Nuthin' But A ""G"" Thang"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Alma Enamorada"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Nieves De Enero"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Hermanos Mata"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","El Crimen De Culiacán"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Los Chismes"
1992,"['Dr. Dre', 'Jewell']","Let Me Ride"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Mario Peralta"
1992,"[""Los Yonic's"", 'Marco Antonio Solís']","Pero Te Vas A Arrepentir"
1992,"['Céline Dion', 'Peabo Bryson']","Beauty and the Beast - from the Soundtrack ""Beauty and the Beast"""
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Prenda Del Alma"
1992,"['Joan Sebastian', 'Antonio Aguilar']","Bandido De Amores"
1992,"['Cliff Edwards', 'Disney Studio Chorus']","When You Wish Upon a Star"
1992,"['10,000 Maniacs']","These Are Days"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Florita Del Alma"
1992,"['Lea Salonga', 'Brad Kane']","A Whole New World"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Nieves De Enero"
1992,"['Shai', 'Bill Appleberry']","If I Ever Fall In Love"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Alma Enamorada"
1992,"['Hezekiah Walker', 'Love Fellowship Choir']","Grateful"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","El Navegante"
1992,"['Patty Smyth', 'Don Henley']","Sometimes Love Just Ain't Enough"
1993,"['Snoop Dogg', 'Daz Dillinger']","Gin N Juice (feat. Dat Nigga Daz)"
1993,"['2Pac', 'Digital Underground']","I Get Around"
1993,"['Snoop Dogg', 'Kurupt', 'Warren G', 'Nate Dogg']","Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)"
1993,"['Salt-N-Pepa', 'En Vogue']","Whatta Man"
1993,"['Snoop Dogg', 'Daz Dillinger']","Murder Was The Case (feat. Dat Nigga Daz)"
1993,"['Elton John', 'George Michael']","Don't Let The Sun Go Down On Me - Live At Wembley Arena / 1991"
1993,"['John Williams', 'Itzhak Perlman', 'Boston Symphony Orchestra']","Theme From Schindler's List"
1993,"['Johnny Maestro', 'The Crests']","16 Candles"
1993,"['10,000 Maniacs']","Because the Night - Live Unplugged"
1993,"['Snoop Dogg', 'Nancy Fletcher']","Lodi Dodi (feat. Nancy Fletcher)"
1993,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']","Pistol Packin' Mama - Single Version"
1993,"['Snoop Dogg', 'Tha Dogg Pound', 'The Dramatics']","Doggy Dogg World (feat. Tha Dogg Pound & The Dramatics)"
1993,"['Frank Sinatra', 'Bobby Tucker Singers']","If You Are But A Dream (with The Bobby Tucker Singers)"
1993,"['Pyotr Ilyich Tchaikovsky', 'Carol Rosenberger']","Album for the Young, Op. 39: No. 3. Mamma (Maman)"
1993,"['Peabo Bryson', 'Regina Belle']","A Whole New World (Aladdin's Theme)"
1994,"['Frank Sinatra', 'B. Swanson Quartet']","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)"
1994,"['Warren G', 'Nate Dogg']","Regulate"
1994,"['Jason Weaver', 'Rowan Atkinson', 'Laura Williams']","I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version"
1994,"['Nathan Lane', 'Ernie Sabella', 'Jason Weaver', 'Joseph Williams']","Hakuna Matata - From ""The Lion King""/Soundtrack"
1994,"['Ice Cube', 'Das EFX']","Check Yo Self - Remix"
1994,"['Carmen Twillie', 'Lebo M.']","Circle of Life - From ""The Lion King""/ Soundtrack"
1994,"['Warren G', 'O.G.L.B.']","This D.J."
1994,"['Joseph Williams', 'Sally Dworsky', 'Nathan Lane', 'Ernie Sabella', 'Kristle Edwards']","Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version"
1994,"['Claude Debussy', 'Martin Jones']","Clair de Lune, L. 32"
1994,"['Pretenders', 'Bob Clearmountain']","I'll Stand by You"
1994,"['Bone Thugs-N-Harmony', 'Eazy-E']","Foe Tha Love of $"
1994,"['Big Mountain', 'Tom Lord-Alge']","Baby, I Love Your Way"
1994,"['Ini Kamoze', 'Salaam Remi']","Here Comes The Hotstepper - Heartical Mix"
1994,"['Ella Fitzgerald', 'The Delta Rhythm Boys']","It's Only A Paper Moon"
1994,"['Soul For Real', 'Heavy D']","Candy Rain - Heavy D & TrakMasterz Mix"
1994,"['SWV', 'Allen Gordon, Jr. aka ""ALLSTAR""', 'Arty Skye']","Anything - Old Skool Radio 7"" Version"
1994,"['Jeremy Irons', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings']","Be Prepared - From ""The Lion King"" / Soundtrack Version"
1994,"['Nas', 'AZ', 'Olu Dara']","Life's a Bitch (feat. AZ & Olu Dara)"
1994,"['The Notorious B.I.G.', 'Method Man']","The What"
1994,"['20 Fingers', 'Gillette']","Short Dick Man - Club Mix"
1994,"['Hans Zimmer', 'Lebo M.']","This Land - From ""The Lion King""/Score"
1994,"['Maurice Ravel', 'André Laplante']","Miroirs: III. Une barque sur l'océan"
1995,"['Coolio', 'L.V.']","Gangsta's Paradise"
1995,"['Luniz', 'Michael Marshall']","I Got 5 On It"
1995,"['Montell Jordan', 'Wino']","This Is How We Do It"
1995,"['Mariah Carey', 'Boyz II Men']","One Sweet Day"
1995,"['GZA', 'Method Man']","Shadowboxin'"
1995,"['Raekwon', 'Ghostface Killah', 'Method Man', 'Cappadonna']","Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)"
1995,"['Marco Antonio Solís', 'Los Bukis']","Será Mejor Que Te Vayas"
1995,"['LL Cool J', 'Boyz II Men']","Hey Lover"
1995,"['Tevin Campbell', 'Rosie Gaines']","I2I"
1995,"['2Pac', 'Dramacydal']","Me Against The World"
