"year","artists","name"
1991,"['Alan Jackson', 'Jimmy Buffett']","It's Five O'Clock Somewhere"
1991,"['Angela Lansbury', 'Jerry Orbach', 'Chorus - Beauty And the Beast']","Be Our Guest - From ""Beauty and the Beast""/Soundtrack"
1991,"['Richard White', ""Paige O'Hara"", 'Chorus - Beauty And the Beast']","Belle - From ""Beauty and the Beast""/Soundtrack Version"
1991,"['Robby Benson', 'Jerry Orbach', ""Paige O'Hara"", 'Angela Lansbury', 'David Ogden Stiers']","Something There - From ""Beauty and the Beast""/Soundtrack Version"
1991,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']","Good Vibrations"
1991,"['Ludwig van Beethoven', 'Nelly Kokinos']","Für Elise, WoO 59"
1992,"['Dr. Dre', 'Snoop Dogg']","Nuthin' But A ""G"" Thang"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Alma Enamorada"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Nieves De Enero"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Hermanos Mata"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","El Crimen De Culiacán"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Los Chismes"
1992,"['Dr. Dre', 'Jewell']","Let Me Ride"
1992,"[""Los Yonic's"", 'Marco Antonio Solís']","Pero Te Vas A Arrepentir"
1992,"['Céline Dion', 'Peabo Bryson']","Beauty and the Beast - from the Soundtrack ""Beauty and the Beast"""
1992,"['Joan Sebastian', 'Antonio Aguilar']","Bandido De Amores"
1992,"['Chalino Sanchez', 'Los Amables Del Norte']","Nieves De Enero"
1993,"['Snoop Dogg', 'Daz Dillinger']","Gin N Juice (feat. Dat Nigga Daz)"
1993,"['2Pac', 'Digital Underground']","I Get Around"
1993,"['Snoop Dogg', 'Kurupt', 'Warren G', 'Nate Dogg']","Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)"
1993,"['Salt-N-Pepa', 'En Vogue']","Whatta Man"
1993,"['John Williams', 'Itzhak Perlman', 'Boston Symphony Orchestra']","Theme From Schindler's List"
1993,"['10,000 Maniacs']","Because the Night - Live Unplugged"
1993,"['Peabo Bryson', 'Regina Belle']","A Whole New World (Aladdin's Theme)"
1994,"['Frank Sinatra', 'B. Swanson Quartet']","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)"
1994,"['Warren G', 'Nate Dogg']","Regulate"
1994,"['Jason Weaver', 'Rowan Atkinson', 'Laura Williams']","I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version"
1994,"['Nathan Lane', 'Ernie Sabella', 'Jason Weaver', 'Joseph Williams']","Hakuna Matata - From ""The Lion King""/Soundtrack"
1994,"['Ice Cube', 'Das EFX']","Check Yo Self - Remix"
1994,"['Carmen Twillie', 'Lebo M.']","Circle of Life - From ""The Lion King""/ Soundtrack"
1994,"['Warren G', 'O.G.L.B.']","This D.J."
1994,"['Joseph Williams', 'Sally Dworsky', 'Nathan Lane', 'Ernie Sabella', 'Kristle Edwards']","Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version"
1994,"['Claude Debussy', 'Martin Jones']","Clair de Lune, L. 32"
1994,"['Pretenders', 'Bob Clearmountain']","I'll Stand by You"
1994,"['Big Mountain', 'Tom Lord-Alge']","Baby, I Love Your Way"
1994,"['Ella Fitzgerald', 'The Delta Rhythm Boys']","It's Only A Paper Moon"
1994,"['20 Fingers', 'Gillette']","Short Dick Man - Club Mix"
1995,"['Coolio', 'L.V.']","Gangsta's Paradise"
1995,"['Luniz', 'Michael Marshall']","I Got 5 On It"
1995,"['Montell Jordan', 'Wino']","This Is How We Do It"
1995,"['Mariah Carey', 'Boyz II Men']","One Sweet Day"
1995,"['GZA', 'Method Man']","Shadowboxin'"
1995,"['Raekwon', 'Ghostface Killah', 'Method Man', 'Cappadonna']","Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)"
1995,"['Marco Antonio Solís', 'Los Bukis']","Será Mejor Que Te Vayas"
1995,"['2Pac', 'Dramacydal']","Me Against The World"
1995,"['Wolfgang Amadeus Mozart', 'Howard Shelley', 'London Mozart Players']","Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante"
1995,"['Ludwig van Beethoven', 'Wiener Philharmoniker', 'Carlos Kleiber']","Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio"
1995,"['Nightcrawlers', 'MK']","Push The Feeling On - Mk Dub Revisited Edit"
1996,"['Blackstreet', 'Dr. Dre', 'Queen Pen']","No Diggity"
1996,"['2Pac', 'Big Syke']","All Eyez On Me (ft. Big Syke)"
1996,"['Nas', 'Ms. Lauryn Hill']","If I Ruled the World (Imagine That) (feat. Lauryn Hill)"
1996,"['Keith Sweat', 'Athena Cage']","Nobody (feat. Athena Cage)"
1996,"['2Pac', ""Rappin' 4-Tay""]","Only God Can Judge Me (ft. Rappin' 4-Tay)"
1996,"['Total', 'The Notorious B.I.G.']","Can't You See (feat. The Notorious B.I.G.)"
1996,"['2Pac', 'Yani Hadati', 'Snoop Dogg', 'Nate Dogg', 'Fatal']","All About U (ft. Nate Dogg, Snoop Dogg, Fatal, Yani Hadati)"
1996,"['2Pac', 'Richie Rich']","Ratha Be Ya N____ (ft. Richie Rich)"
1996,"['112', 'The Notorious B.I.G.', 'Mase']","Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix"
1996,"['Foxy Brown', 'Blackstreet']","Get Me Home"
1996,"['Babyface', 'Kenny G']","Every Time I Close My Eyes (with Kenny G)"
1996,"['Barbra Streisand', 'Bryan Adams']","I Finally Found Someone (feat. Bryan Adams)"
1997,"['The Notorious B.I.G.', 'Mase', 'Diddy']","Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster"
1997,"['Susan Egan', 'Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White']","I Won't Say (I'm In Love)"
1997,"['Chorus - Hercules', 'Lillias White', 'Cheryl Freeman', 'LaChanze', 'Roz Ryan', 'Vaneese Thomas', 'Tawatha Agee']","Zero To Hero"
1997,"['Mase', 'Total']","What You Want (feat. Total)"
1997,"['Wu-Tang Clan', 'Cappadonna']","Triumph"
1997,"['Ella Fitzgerald', 'Louis Armstrong']","Cheek To Cheek"
1997,"['Louis Prima', 'Phil Harris', 'Bruce Reitherman']","I Wan'na Be Like You (The Monkey Song)"
1997,"['Diddy', '112', 'Faith Evans']","I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster"
1997,"['Diddy', 'The Notorious B.I.G.', 'Busta Rhymes']","Victory (feat. The Notorious B.I.G. & Busta Rhymes)"
1997,"['Bone Thugs-N-Harmony', '2Pac']","Thug Luv (feat. 2pac)"
1997,"['Janet Jackson', 'Q-Tip', 'Joni Mitchell']","Got 'Til It's Gone"
1997,"['Joan Sebastian', 'Lisa Lopez']","Rumores"
1997,"['Diddy', 'The Notorious B.I.G.', 'JAY-Z']","Young G's (feat. The Notorious B.I.G. & Jay-Z)"
1997,"['The Notorious B.I.G.', '112']","Sky's the Limit (feat. 112) - 2014 Remaster"
1997,"['Ella Fitzgerald', 'Louis Armstrong']","They Can't Take That Away From Me"
1997,"['Diddy', 'The Notorious B.I.G.', 'Mase']","Been Around the World (feat. The Notorious B.I.G. & Mase)"
